location,year,month,tmax,tmin,tmean
Adelaide,1996,1,27.25,14.62,20.93
Adelaide,1996,2,28.07,16.39,22.23
Adelaide,1996,3,27.19,15.41,21.3
Adelaide,1996,4,19.73,11.61,15.67
Adelaide,1996,5,19.3,9.28,14.29
Adelaide,1996,6,16.71,8.98,12.84
Adelaide,1996,7,15.14,7.89,11.51
Adelaide,1996,8,15.69,8.25,11.97
Adelaide,1996,9,18.08,9.32,13.7
Adelaide,1996,10,21.98,11.41,16.69
Adelaide,1996,11,22.54,12.51,17.53
Adelaide,1996,12,25.71,14.58,20.14
Adelaide,1997,1,29.04,17.76,23.4
Adelaide,1997,2,32.72,19.91,26.31
Adelaide,1997,3,23.18,13.07,18.13
Adelaide,1997,4,22.64,11.81,17.22
Adelaide,1997,5,17.54,9.65,13.6
Adelaide,1997,6,15.97,8.35,12.16
Adelaide,1997,7,14.6,5.66,10.13
Adelaide,1997,8,15.45,7.33,11.39
Adelaide,1997,9,18.33,10.3,14.32
Adelaide,1997,10,22.07,12.02,17.04
Adelaide,1997,11,26.35,14.99,20.67
Adelaide,1997,12,26.72,15.31,21.01
Adelaide,1998,1,29.24,17.23,23.23
Adelaide,1998,2,28.1,15.5,21.8
Adelaide,1998,3,26.7,15.11,20.9
Adelaide,1998,4,20.76,11.59,16.17
Adelaide,1998,5,19.91,11.12,15.52
Adelaide,1998,6,16.48,8.44,12.46
Adelaide,1998,7,14.87,6.65,10.76
Adelaide,1998,8,17.22,8.94,13.08
Adelaide,1998,9,20.27,10.55,15.41
Adelaide,1998,10,20.89,11.1,16.0
Adelaide,1998,11,24.33,13.24,18.78
Adelaide,1998,12,27.55,16.03,21.79
Adelaide,1999,1,31.19,18.36,24.78
Adelaide,1999,2,29.9,18.51,24.21
Adelaide,1999,3,24.4,14.98,19.69
Adelaide,1999,4,20.91,9.8,15.36
Adelaide,1999,5,19.01,10.48,14.75
Adelaide,1999,6,15.95,7.58,11.76
Adelaide,1999,7,16.09,8.43,12.26
Adelaide,1999,8,17.28,8.05,12.67
Adelaide,1999,9,20.66,10.93,15.8
Adelaide,1999,10,22.49,12.78,17.64
Adelaide,1999,11,22.77,12.72,17.75
Adelaide,1999,12,25.72,16.03,20.88
Adelaide,2000,1,28.32,17.38,22.85
Adelaide,2000,2,32.2,20.34,26.27
Adelaide,2000,3,26.28,16.01,21.14
Adelaide,2000,4,22.55,13.05,17.8
Adelaide,2000,5,17.5,9.42,13.46
Adelaide,2000,6,15.69,7.74,11.72
Adelaide,2000,7,15.71,7.81,11.76
Adelaide,2000,8,16.47,8.46,12.47
Adelaide,2000,9,19.61,10.69,15.15
Adelaide,2000,10,21.22,11.85,16.53
Adelaide,2000,11,27.62,17.12,22.37
Adelaide,2000,12,28.31,16.09,22.2
Adelaide,2001,1,33.71,20.29,27.0
Adelaide,2001,2,31.6,19.93,25.77
Adelaide,2001,3,25.47,14.44,19.95
Adelaide,2001,4,22.41,11.46,16.93
Adelaide,2001,5,18.87,9.07,13.97
Adelaide,2001,6,16.16,8.93,12.55
Adelaide,2001,7,15.67,6.99,11.33
Adelaide,2001,8,16.33,8.8,12.56
Adelaide,2001,9,20.17,10.89,15.53
Adelaide,2001,10,18.82,10.65,14.74
Adelaide,2001,11,22.69,12.35,17.52
Adelaide,2001,12,23.26,12.79,18.03
Adelaide,2002,1,27.23,15.32,21.27
Adelaide,2002,2,26.38,14.95,20.67
Adelaide,2002,3,25.76,14.04,19.9
Adelaide,2002,4,24.32,13.43,18.88
Adelaide,2002,5,20.79,11.26,16.03
Adelaide,2002,6,16.32,8.56,12.44
Adelaide,2002,7,16.44,8.24,12.34
Adelaide,2002,8,16.95,7.38,12.17
Adelaide,2002,9,19.39,9.87,14.63
Adelaide,2002,10,21.63,11.1,16.36
Adelaide,2002,11,26.37,14.18,20.28
Adelaide,2002,12,27.79,16.13,21.96
Adelaide,2003,1,31.39,18.04,24.71
Adelaide,2003,2,29.19,17.42,23.3
Adelaide,2003,3,24.82,13.2,19.01
Adelaide,2003,4,23.56,12.45,18.0
Adelaide,2003,5,19.88,10.35,15.11
Adelaide,2003,6,15.85,9.02,12.44
Adelaide,2003,7,16.09,7.61,11.85
Adelaide,2003,8,15.49,7.89,11.69
Adelaide,2003,9,18.15,9.54,13.84
Adelaide,2003,10,19.02,9.44,14.23
Adelaide,2003,11,27.63,14.86,21.25
Adelaide,2003,12,29.04,16.88,22.96
Adelaide,2004,1,25.89,14.93,20.41
Adelaide,2004,2,32.19,17.75,24.97
Adelaide,2004,3,27.74,14.1,20.92
Adelaide,2004,4,23.83,13.28,18.55
Adelaide,2004,5,18.82,9.35,14.09
Adelaide,2004,6,16.26,9.55,12.9
Adelaide,2004,7,14.83,7.69,11.26
Adelaide,2004,8,16.78,8.54,12.66
